,DOWN,DISTANCEBIN,FIELDBIN,EXPECTEDPOINTS
113,1,"(20, 30]","(65, 70]",5.0
133,1,"(30, 40]","(65, 70]",
153,1,"(40, 50]","(65, 70]",
173,2,"(0, 2]","(65, 70]",3.0634920634920637
193,2,"(2, 5]","(65, 70]",3.7058823529411766
213,2,"(5, 10]","(65, 70]",2.3291770573566084
233,2,"(10, 15]","(65, 70]",1.5588235294117647
253,2,"(15, 20]","(65, 70]",0.8666666666666667
273,2,"(20, 30]","(65, 70]",1.6
293,2,"(30, 40]","(65, 70]",
313,2,"(40, 50]","(65, 70]",
333,3,"(0, 2]","(65, 70]",1.9444444444444444
353,3,"(2, 5]","(65, 70]",2.6448598130841123
373,3,"(5, 10]","(65, 70]",0.9813664596273292
393,3,"(10, 15]","(65, 70]",1.5555555555555556
413,3,"(15, 20]","(65, 70]",1.608695652173913
433,3,"(20, 30]","(65, 70]",-2.111111111111111
453,3,"(30, 40]","(65, 70]",
473,3,"(40, 50]","(65, 70]",
493,4,"(0, 2]","(65, 70]",3.32
513,4,"(2, 5]","(65, 70]",0.8113207547169812
533,4,"(5, 10]","(65, 70]",-1.4096385542168675
553,4,"(10, 15]","(65, 70]",-2.142857142857143
573,4,"(15, 20]","(65, 70]",-1.7692307692307692
593,4,"(20, 30]","(65, 70]",-1.2222222222222223
613,4,"(30, 40]","(65, 70]",
633,4,"(40, 50]","(65, 70]",
14,1,"(0, 2]","(70, 75]",
34,1,"(2, 5]","(70, 75]",7.0
54,1,"(5, 10]","(70, 75]",3.32707182320442
74,1,"(10, 15]","(70, 75]",3.761904761904762
94,1,"(15, 20]","(70, 75]",2.0
114,1,"(20, 30]","(70, 75]",0.3333333333333333
134,1,"(30, 40]","(70, 75]",
154,1,"(40, 50]","(70, 75]",
174,2,"(0, 2]","(70, 75]",2.6619718309859155
194,2,"(2, 5]","(70, 75]",3.7196969696969697
214,2,"(5, 10]","(70, 75]",2.0837696335078535
234,2,"(10, 15]","(70, 75]",2.3207547169811322
254,2,"(15, 20]","(70, 75]",0.875
274,2,"(20, 30]","(70, 75]",1.0
294,2,"(30, 40]","(70, 75]",
314,2,"(40, 50]","(70, 75]",
334,3,"(0, 2]","(70, 75]",3.4761904761904763
354,3,"(2, 5]","(70, 75]",2.5
374,3,"(5, 10]","(70, 75]",1.183673469387755
394,3,"(10, 15]","(70, 75]",1.619047619047619
414,3,"(15, 20]","(70, 75]",-1.6
434,3,"(20, 30]","(70, 75]",-0.7142857142857143
454,3,"(30, 40]","(70, 75]",
474,3,"(40, 50]","(70, 75]",
494,4,"(0, 2]","(70, 75]",0.7142857142857143
514,4,"(2, 5]","(70, 75]",-0.3333333333333333
534,4,"(5, 10]","(70, 75]",-1.7142857142857142
554,4,"(10, 15]","(70, 75]",-2.857142857142857
574,4,"(15, 20]","(70, 75]",-2.142857142857143
594,4,"(20, 30]","(70, 75]",-2.142857142857143
614,4,"(30, 40]","(70, 75]",
634,4,"(40, 50]","(70, 75]",
15,1,"(0, 2]","(75, 80]",
35,1,"(2, 5]","(75, 80]",3.5714285714285716
55,1,"(5, 10]","(75, 80]",3.4398584905660377
75,1,"(10, 15]","(75, 80]",2.4545454545454546
95,1,"(15, 20]","(75, 80]",-0.8
115,1,"(20, 30]","(75, 80]",-5.0
135,1,"(30, 40]","(75, 80]",
155,1,"(40, 50]","(75, 80]",
175,2,"(0, 2]","(75, 80]",3.1403508771929824
195,2,"(2, 5]","(75, 80]",4.1570247933884295
215,2,"(5, 10]","(75, 80]",2.627450980392157
235,2,"(10, 15]","(75, 80]",1.6176470588235294
255,2,"(15, 20]","(75, 80]",-1.1904761904761905
275,2,"(20, 30]","(75, 80]",-4.333333333333333
295,2,"(30, 40]","(75, 80]",
315,2,"(40, 50]","(75, 80]",
335,3,"(0, 2]","(75, 80]",2.064516129032258
355,3,"(2, 5]","(75, 80]",2.2842105263157895
375,3,"(5, 10]","(75, 80]",0.4939759036144578
395,3,"(10, 15]","(75, 80]",-0.4117647058823529
415,3,"(15, 20]","(75, 80]",-1.0
435,3,"(20, 30]","(75, 80]",-4.5
455,3,"(30, 40]","(75, 80]",
475,3,"(40, 50]","(75, 80]",
495,4,"(0, 2]","(75, 80]",1.6341463414634145
515,4,"(2, 5]","(75, 80]",-1.0454545454545454
535,4,"(5, 10]","(75, 80]",-2.3157894736842106
555,4,"(10, 15]","(75, 80]",-2.096774193548387
575,4,"(15, 20]","(75, 80]",-2.4285714285714284
595,4,"(20, 30]","(75, 80]",-2.75
615,4,"(30, 40]","(75, 80]",
635,4,"(40, 50]","(75, 80]",
16,1,"(0, 2]","(80, 85]",
36,1,"(2, 5]","(80, 85]",5.333333333333333
56,1,"(5, 10]","(80, 85]",3.8979591836734695
76,1,"(10, 15]","(80, 85]",4.545454545454546
96,1,"(15, 20]","(80, 85]",-0.09090909090909091
116,1,"(20, 30]","(80, 85]",
136,1,"(30, 40]","(80, 85]",
156,1,"(40, 50]","(80, 85]",
176,2,"(0, 2]","(80, 85]",3.847457627118644
196,2,"(2, 5]","(80, 85]",3.7518796992481205
216,2,"(5, 10]","(80, 85]",2.8169398907103824
236,2,"(10, 15]","(80, 85]",1.6233766233766234
256,2,"(15, 20]","(80, 85]",1.7142857142857142
276,2,"(20, 30]","(80, 85]",
296,2,"(30, 40]","(80, 85]",
316,2,"(40, 50]","(80, 85]",
336,3,"(0, 2]","(80, 85]",3.6666666666666665
356,3,"(2, 5]","(80, 85]",3.1758241758241756
376,3,"(5, 10]","(80, 85]",0.9894736842105263
396,3,"(10, 15]","(80, 85]",-1.6666666666666667
416,3,"(15, 20]","(80, 85]",-0.875
436,3,"(20, 30]","(80, 85]",
456,3,"(30, 40]","(80, 85]",
476,3,"(40, 50]","(80, 85]",
496,4,"(0, 2]","(80, 85]",2.6818181818181817
516,4,"(2, 5]","(80, 85]",-1.380952380952381
536,4,"(5, 10]","(80, 85]",-2.411764705882353
556,4,"(10, 15]","(80, 85]",-2.7777777777777777
576,4,"(15, 20]","(80, 85]",-2.8333333333333335
596,4,"(20, 30]","(80, 85]",
616,4,"(30, 40]","(80, 85]",
636,4,"(40, 50]","(80, 85]",
17,1,"(0, 2]","(85, 90]",
37,1,"(2, 5]","(85, 90]",5.571428571428571
57,1,"(5, 10]","(85, 90]",4.108638743455497
77,1,"(10, 15]","(85, 90]",5.181818181818182
97,1,"(15, 20]","(85, 90]",
117,1,"(20, 30]","(85, 90]",
137,1,"(30, 40]","(85, 90]",
157,1,"(40, 50]","(85, 90]",
177,2,"(0, 2]","(85, 90]",4.2105263157894735
197,2,"(2, 5]","(85, 90]",3.797872340425532
217,2,"(5, 10]","(85, 90]",3.1926345609065154
